rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR709702,Billy Idol,White Wedding Pt 1,8,ready_for_card_assembly,18,5,18,5,4,
RVTR262131,April Wine,Just Between You and Me,8,ready_for_card_assembly,8,7,8,7,7,
RVTR020223,Alanis Morissette,Hand In My Pocket,8,ready_for_card_assembly,15,6,15,6,6,
RVTR247739,Bellamy Brothers,Let Your Love Flow,8,ready_for_card_assembly,17,8,17,8,6,
RVTR549383,Billy Ocean,Get Outta My Dreams Get Into My Car,8,ready_for_card_assembly,14,8,14,8,7,
RVTR484352,Blind Melon,Galaxie,7,ready_for_card_assembly,11,4,12,4,4,
RVTR656352,Blues Brothers,Soul Man,7,ready_for_card_assembly,20,6,20,6,7,
RVTR763508,3 Doors Down,Kryptonite,7,ready_for_card_assembly,16,7,16,7,6,
RVTR441661,Al Stewart,Year Of The Cat,7,ready_for_card_assembly,18,6,18,6,7,
RVTR418687,Beastie Boys,Intergalactic,7,ready_for_card_assembly,17,8,17,8,7,
RVTR368720,Billy Idol,Dancing With Myself,7,ready_for_card_assembly,13,8,13,8,6,
RVTR400388,Alanis Morissette,You Oughta Know,7,ready_for_card_assembly,17,7,17,7,6,
RVTR455091,Beats International,Dub Be Good To Me,7,ready_for_card_assembly,12,6,13,6,6,
RVTR956614,Bee Gees,How Can You Mend a Broken Heart,7,ready_for_card_assembly,13,7,13,7,7,
RVTR281384,Blind Melon,No Rain,6,ready_for_card_assembly,11,7,11,7,7,
RVTR181380,Avicii,Levels,6,ready_for_card_assembly,13,6,13,6,6,
RVTR471843,Amy Winehouse,Rehab,6,ready_for_card_assembly,17,8,17,8,7,
RVTR794515,Bee Gees,Night Fever,6,ready_for_card_assembly,10,5,10,5,6,
RVTR731814,Black Sabbath,Paranoid,6,ready_for_card_assembly,17,6,17,6,7,
RVTR563914,Blondie,The Tide Is High,6,ready_for_card_assembly,11,6,11,6,7,
RVTR209418,Belinda Carlisle,Mad About You,6,ready_for_card_assembly,17,6,17,6,6,
RVTR698984,AC/DC,You Shook Me All Night Long,6,ready_for_card_assembly,18,8,18,8,7,
RVTR957436,Alison Krauss And Jerry Douglas,Graceland,6,ready_for_card_assembly,4,2,4,2,2,
RVTR634395,Adriano Celentano,Prisencolinensinainciusol,6,ready_for_card_assembly,12,6,12,6,3,
RVTR015508,Billy Idol,Rebel Yell,5,ready_for_card_assembly,11,7,11,7,6,
RVTR306000,Alabama,Feels So Right,5,ready_for_card_assembly,14,7,14,7,7,
RVTR352845,Ace Of Base,Cruel Summer,5,ready_for_card_assembly,12,7,12,7,7,
RVTR005238,Billy Idol,Cradle Of Love,5,ready_for_card_assembly,21,6,21,6,6,
RVTR952686,Big Bopper,Chantilly Lace,5,ready_for_card_assembly,11,6,11,6,5,
RVTR469498,Bananarama,I Heard A Rumor,5,ready_for_card_assembly,15,6,15,6,4,
RVTR710977,Alan O'Day,Undercover Angel,5,ready_for_card_assembly,13,7,13,7,6,
RVTR788035,Ace Of Base,All That She Wants,5,ready_for_card_assembly,12,8,12,8,7,
RVTR736146,Bloodhound Gang,The Bad Touch,5,ready_for_card_assembly,10,6,10,6,6,
RVTR167497,Allman Brothers Band,Midnight Rider,5,ready_for_card_assembly,23,6,23,6,4,
RVTR902460,AC/DC,Thunderstruck,5,ready_for_card_assembly,15,7,15,7,7,
RVTR779297,ABBA,Waterloo,4,ready_for_card_assembly,22,8,22,8,7,
RVTR804974,April Wine,Roller,4,ready_for_card_assembly,9,5,9,5,5,
